127.0.0.1 - - [08/Mar/2017:21:39:41 +0800] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [08/Mar/2017:21:39:43 +0800] "GET /hw/index.jsp HTTP/1.1" 200 1720
0:0:0:0:0:0:0:1 - - [08/Mar/2017:21:39:43 +0800] "GET /hw/js/toastr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:21:39:43 +0800] "GET /hw/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:21:39:43 +0800] "GET /hw/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:21:39:43 +0800] "GET /hw/css/toastr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:21:39:49 +0800] "POST /hw/loginAjax HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:21:39:52 +0800] "POST /hw/login HTTP/1.1" 200 8925
0:0:0:0:0:0:0:1 - - [08/Mar/2017:21:39:52 +0800] "GET /hw/css/prism.css HTTP/1.1" 200 1920
0:0:0:0:0:0:0:1 - - [08/Mar/2017:21:39:52 +0800] "GET /hw/css/umain.css HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [08/Mar/2017:21:39:52 +0800] "GET /hw/css/daterangepicker.min.css HTTP/1.1" 200 6758
0:0:0:0:0:0:0:1 - - [08/Mar/2017:21:39:52 +0800] "GET /hw/css/ladda-themeless.min.css HTTP/1.1" 200 7710
0:0:0:0:0:0:0:1 - - [08/Mar/2017:21:39:52 +0800] "GET /hw/js/spin.min.js HTTP/1.1" 200 4123
0:0:0:0:0:0:0:1 - - [08/Mar/2017:21:39:52 +0800] "GET /hw/js/moment.min.js HTTP/1.1" 200 41789
0:0:0:0:0:0:0:1 - - [08/Mar/2017:21:39:52 +0800] "GET /hw/js/jquery.daterangepicker.min.js HTTP/1.1" 200 42685
0:0:0:0:0:0:0:1 - - [08/Mar/2017:21:39:52 +0800] "GET /hw/js/umain.js HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [08/Mar/2017:21:39:52 +0800] "GET /hw/js/main.js HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [08/Mar/2017:21:39:52 +0800] "GET /hw/js/distpicker.data.js HTTP/1.1" 200 99284
0:0:0:0:0:0:0:1 - - [08/Mar/2017:21:39:52 +0800] "GET /hw/js/ladda.min.js HTTP/1.1" 200 3194
0:0:0:0:0:0:0:1 - - [08/Mar/2017:21:39:52 +0800] "GET /hw/js/distpicker.js HTTP/1.1" 200 6168
0:0:0:0:0:0:0:1 - - [08/Mar/2017:21:39:52 +0800] "GET /hw/js/prism.js HTTP/1.1" 200 6673
0:0:0:0:0:0:0:1 - - [08/Mar/2017:21:39:53 +0800] "GET /hw/js/date.js HTTP/1.1" 200 1727
0:0:0:0:0:0:0:1 - - [08/Mar/2017:21:40:04 +0800] "POST /hw/searchHostel HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [08/Mar/2017:21:40:17 +0800] "POST /hw/searchHostel HTTP/1.1" 200 2710
